response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,response.rt,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,1.2222,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.311999798,1,0,40,5,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,2.111,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.363000154,1,0,40,21,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,2.3332,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.363000154,1,0,40,26,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,1.2222,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.561999798,1,0,40,6,1,39
c,1,0.3660619,0.045357524,0,0,0,,,,,,,,1.8888,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.363000154,1,0,40,16,1,39
c,1,0.3660619,0.045357524,0,0,0,,,,,,,,2.7776,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.312000036,1,0,40,32,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,1.4444,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.345999956,1,0,40,10,1,39
c,0,0.3660619,0.045357524,0,0,0,,,,,,,,2.9998,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.311999798,1,0,40,38,1,39
c,1,0.3660619,0.045357524,0,0,0,,,,,,,,1.2222,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.562000036,1,0,40,4,1,39
v,0,0.501600854,0.493596585,0,0,0,,,,,,,,2.7776,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,72.01200008,1,0,40,34,1,39
c,1,0.54642476,0.143543223,0,0,0,,,,,,,,2.9998,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.346999884,1,0,40,36,1,39
c,0,0.693703308,0.497865528,0,0,0,,,,,,,,2.9998,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.580000162,1,0,40,39,1,39
c,0,-0.434610304,0.254293263,0,0,0,,,,,,,,1.8888,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.57799983,1,0,40,19,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,1.4444,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,2.411999941,1,0,40,9,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,2.111,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.747000217,1,0,40,23,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,1.2222,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.845999956,1,0,40,7,1,39
c,1,-0.702774108,0.132760898,0,0,0,,,,,,,,2.3332,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.629000187,1,0,40,24,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,2.3332,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,3.029999971,1,0,40,25,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,2.5554,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.362999916,1,0,40,31,1,39
c,1,-0.702774108,0.132760898,0,0,0,,,,,,,,1.6666,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,1.328999996,1,0,40,12,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,2.111,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,2.796000004,1,0,40,22,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,2.9998,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.763000011,1,0,40,37,1,39
c,0,-0.702774108,0.132760898,0,0,0,,,,,,,,2.5554,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.177999973,1,0,40,30,1,39
c,0,-0.886393659,0.123513871,0,0,0,,,,,,,,1.8888,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,27.01200008,1,0,40,18,1,39
c,0,-0.63032368,-0.254684838,0,0,0,,,,,,,,2.7776,-0.125,v,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,1679.761,1,0,40,33,1,39
c,0,-0.63713799,-0.252981261,0,0,0,,,,,,,,1.6666,0.125,b,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,1.147000074,1,0,40,14,1,39
c,0,-0.783645656,0.309199319,0,0,0,,,,,,,,1.6666,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,85.76400018,1,0,40,15,1,39
c,0,-0.790459966,0.309199319,0,0,0,,,,,,,,2.7776,0.375,n,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,0.048000097,1,0,40,35,1,39
c,1,-1.017035775,0.353492334,0,0,0,,,,,,,,1.4444,-0.375,c,,001,2021-08-09_10h27.20.942,choiceRTT,3.1.3,60,2.914000034,1,0,40,8,1,39
