response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,0,1.286000013,-0.11843378,0.036640625,0,0,0,,,,,,,2.5554,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,30,1,39
c,1,248.5349998,-0.253891369,0.07140625,0,0,0,,,,,,,1,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,0,1,39
c,1,2.704999924,-0.253891369,0.07140625,0,0,0,,,,,,,1.6666,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,12,1,39
n,1,3.921000004,-0.253891369,0.07140625,0,0,0,,,,,,,2.9998,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,39,1,39
b,1,3.601999998,-0.253891369,0.07140625,0,0,0,,,,,,,1.4444,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,10,1,39
v,1,1.207000017,-0.253891369,0.07140625,0,0,0,,,,,,,2.111,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,21,1,39
c,1,1.919000149,-0.253891369,0.07140625,0,0,0,,,,,,,2.5554,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,28,1,39
n,0,1.023000002,-0.253891369,0.07140625,0,0,0,,,,,,,1.8888,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,18,1,39
n,1,5.274000168,-0.253891369,0.07140625,0,0,0,,,,,,,2.7776,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,35,1,39
v,1,1.105999947,-0.253891369,0.07140625,0,0,0,,,,,,,1,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,1,1,39
c,1,1.138999939,-0.253891369,0.07140625,0,0,0,,,,,,,2.3332,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,24,1,39
v,1,0.867000103,-0.253891369,0.07140625,0,0,0,,,,,,,1.2222,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,5,1,39
n,1,0.73300004,-0.253891369,0.07140625,0,0,0,,,,,,,1.6666,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,15,1,39
b,1,0.968999863,-0.253891369,0.07140625,0,0,0,,,,,,,2.3332,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,26,1,39
v,1,1.123000145,-0.253891369,0.07140625,0,0,0,,,,,,,1.6666,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,13,1,39
v,1,0.950999975,-0.253891369,0.07140625,0,0,0,,,,,,,2.7776,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,33,1,39
n,0,0.923000097,-0.253891369,0.07140625,0,0,0,,,,,,,2.7776,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,34,1,39
n,1,1.775000095,-0.253891369,0.07140625,0,0,0,,,,,,,2.3332,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,27,1,39
n,1,0.985000134,-0.253891369,0.07140625,0,0,0,,,,,,,1.4444,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,11,1,39
v,1,0.934999943,-0.253891369,0.07140625,0,0,0,,,,,,,1.8888,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,17,1,39
n,0,0.934000015,-0.253891369,0.07140625,0,0,0,,,,,,,2.9998,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,38,1,39
c,1,0.844000101,-0.253891369,0.07140625,0,0,0,,,,,,,1.4444,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,8,1,39
n,0,1.039999962,-0.253891369,0.07140625,0,0,0,,,,,,,2.111,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,22,1,39
c,1,0.924999952,-0.253891369,0.07140625,0,0,0,,,,,,,1.8888,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,16,1,39
n,1,1.041999817,-0.253891369,0.07140625,0,0,0,,,,,,,1,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,3,1,39
v,1,0.838000059,-0.253891369,0.07140625,0,0,0,,,,,,,2.3332,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,25,1,39
n,1,1.019000053,-0.253891369,0.07140625,0,0,0,,,,,,,1.8888,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,19,1,39
n,1,0.923000097,-0.253891369,0.07140625,0,0,0,,,,,,,2.111,0.375,n,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,23,1,39
b,1,1.539999962,-0.253891369,0.07140625,0,0,0,,,,,,,1,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,2,1,39
c,1,2.184999943,-0.253891369,0.07140625,0,0,0,,,,,,,1.2222,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,4,1,39
v,1,0.47300005,-0.253891369,0.07140625,0,0,0,,,,,,,2.5554,-0.125,v,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,29,1,39
c,1,0.766000032,-0.253891369,0.07140625,0,0,0,,,,,,,2.111,-0.375,c,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,20,1,39
b,1,1.138999939,-0.253891369,0.07140625,0,0,0,,,,,,,1.6666,0.125,b,Cruz1,001,2020-01-20_15h32.18.188,choiceRTT,3.1.3,60,1,0,40,14,1,39
