keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
b,1,2.1196,,,,,,,,0.8196,,,,,,,,1.3,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,1,1,1,1
v,1,1.8235,,,,,,,,0.5235,,,,,,,,1.3,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,2,2,8,1
b,1,2.1909,,,,,,,,1.0909,,,,,,,,1.1,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,3,3,7,1
v,1,1.9565,,,,,,,,0.8565,,,,,,,,1.1,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,4,4,5,1
v,1,2.1945,,,,,,,,0.6945,,,,,,,,1.5,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,5,5,2,1
c,1,2.2063,,,,,,,,0.7063,,,,,,,,1.5,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,6,6,6,1
b,1,2.3271,,,,,,,,0.8271,,,,,,,,1.5,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,7,7,4,1
c,1,1.9568,,,,,,,,0.6568,,,,,,,,1.3,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,0,8,8,3,1
c,1,1.9259,,,,,,,,0.6259,,,,,,,,1.3,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,0,9,3,1
b,1,2.0883,,,,,,,,0.5883,,,,,,,,1.5,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,1,10,4,1
v,1,1.5887,,,,,,,,0.4887,,,,,,,,1.1,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,2,11,5,1
c,1,2.2894,,,,,,,,0.7894,,,,,,,,1.5,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,3,12,6,1
c,1,1.7795,,,,,,,,0.6795,,,,,,,,1.1,images/target_cross.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,4,13,0,1
b,1,1.9905,,,,,,,,0.8905,,,,,,,,1.1,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,5,14,7,1
b,0,2.6046,,,,,,,,1.3046,,,,,,,,1.3,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,6,15,8,1
b,0,2.7383,,,,,,,,1.2383,,,,,,,,1.5,images/target_square.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,7,16,2,1
b,1,2.3399,,,,,,,,1.0399,,,,,,,,1.3,images/target_plus.jpg,,001,2022-06-30_14h56.50.458,choiceRTT,2021.2.3,Win32,60.03121623,,,,,,,,,1,8,17,1,1
