my.response.keys, my.response.corr, my.response.rt, my.mouseResp.x, my.mouseResp.y, my.mouseResp.leftButton, my.mouseResp.midButton, my.mouseResp.rightButton, my.mouseResp.RT, my.mouseResp.clicked_name, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, my.mainTrials.thisRepN, my.mainTrials.thisTrialN, my.mainTrials.thisN, my.mainTrials.thisIndex, my.mainTrials.ran, my.mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , -0.3861111111111111, 0.006944444444444444, 1, 0, 0, 0.7840000000000007, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.1486111111111111, 0.014583333333333334, 1, 0, 0, 0.36599999999999966, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.34791666666666665, 0.020833333333333332, 1, 0, 0, 0.8689999999999998, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.36736111111111114, 0.001388888888888889, 1, 0, 0, 0.5660000000000025, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.1527777777777778, 0.007638888888888889, 1, 0, 0, 0.4339999999999975, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.11875, 0.013194444444444444, 1, 0, 0, 0.3160000000000025, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.12638888888888888, 0.007638888888888889, 1, 0, 0, 0.8680000000000021, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.12708333333333333, 0.009027777777777777, 1, 0, 0, 0.3329999999999984, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.10208333333333333, 0.006944444444444444, 1, 0, 0, 0.46699999999999875, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.10416666666666667, 0.006944444444444444, 1, 0, 0, 0.36599999999999966, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , 0.05763888888888889, 0.004166666666666667, 1, 0, 0, 0.4819999999999993, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
, 0, , -0.034722222222222224, 0.004861111111111111, 1, 0, 0, 0.44999999999999574, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 1.8888, 0.375, n, 1, 0, 40, 19, 1, 39, 1.8888, 0.375, n, lkjhkj,, 001, Sun Jul 29 2018 15:37:51 GMT+0100 (British Summer Time), choiceRTT, 60
