keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,,,,,,,,,0.5533,,,,,,,1.5,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.0533,,,,,,,,,0,1,1,2,1
c,0,,,,,,,,,1.1087,,,,,,,1.1,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.2087,,,,,,,,,0,2,2,7,1
c,1,,,,,,,,,1.0615,,,,,,,1.1,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.1615,,,,,,,,,0,3,3,0,1
v,1,,,,,,,,,1.0212,,,,,,,1.3,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.3212,,,,,,,,,0,4,4,8,1
b,1,,,,,,,,,0.4178,,,,,,,1.5,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.9178,,,,,,,,,0,5,5,4,1
b,1,,,,,,,,,0.5299,,,,,,,1.3,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.8299,,,,,,,,,0,6,6,1,1
c,1,,,,,,,,,1.1391,,,,,,,1.3,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.4391,,,,,,,,,0,7,7,3,1
c,1,,,,,,,,,0.5968,,,,,,,1.5,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.0968,,,,,,,,,0,8,8,6,1
b,1,,,,,,,,,0.7137,,,,,,,1.5,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.2137,,,,,,,,,1,0,9,4,1
v,1,,,,,,,,,0.4697,,,,,,,1.5,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.9697,,,,,,,,,1,1,10,2,1
v,1,,,,,,,,,0.6536,,,,,,,1.3,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.9536,,,,,,,,,1,2,11,8,1
c,1,,,,,,,,,0.9963,,,,,,,1.5,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.4963,,,,,,,,,1,3,12,6,1
b,1,,,,,,,,,0.5754,,,,,,,1.1,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.6754,,,,,,,,,1,4,13,7,1
b,0,,,,,,,,,0.4371,,,,,,,1.1,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.5371,,,,,,,,,1,5,14,0,1
c,1,,,,,,,,,0.7984,,,,,,,1.3,images/target_cross.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.0984,,,,,,,,,1,6,15,3,1
c,0,,,,,,,,,0.5067,,,,,,,1.1,images/target_square.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,1.6067,,,,,,,,,1,7,16,5,1
b,1,,,,,,,,,0.9227,,,,,,,1.3,images/target_plus.jpg,,001,2022-11-24_10h38.28.620,choiceRTT,2021.2.3,Win32,60.0060006,2.2227,,,,,,,,,1,8,17,1,1
