response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,0,0.341666667,0.000925926,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.405555556,0.013888889,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.169444444,-0.00462963,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.131481481,-0.003703704,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.112962963,-0.005555556,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.126851852,-0.002777778,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.12962963,0,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.131481481,0.000925926,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.392592593,-0.00462963,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.110185185,-0.009259259,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.139814815,-0.003703704,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.097222222,-0.000925926,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.386111111,-0.026851852,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.371296296,-0.02037037,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.363888889,-0.015740741,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.353703704,-0.017592593,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,0.105555556,0.023148148,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
,0,-0.349074074,-0.010185185,1,0,0,targImage,jjj,001,2019-10-09_23h19.39.857,choiceRTT,3.1.3,60
