keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,1.7362,,,,,,,,0.6362,,,,,,,1.1,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,1,1,5,1
c,1,2.4976,,,,,,,,0.9976,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,2,2,6,1
b,1,1.8896,,,,,,,,0.7896,,,,,,,1.1,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,3,3,7,1
c,1,2.0298,,,,,,,,0.7298,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,4,4,3,1
v,1,1.8764,,,,,,,,0.5764,,,,,,,1.3,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,5,5,8,1
v,1,2.0743,,,,,,,,0.5743,,,,,,,1.5,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,6,6,2,1
b,1,2.3408,,,,,,,,1.0408,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,7,7,1,1
v,0,1.6273,,,,,,,,0.5273,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,0,8,8,0,1
v,1,1.9249,,,,,,,,0.4249,,,,,,,1.5,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,0,9,2,1
b,1,2.5736,,,,,,,,1.0736,,,,,,,1.5,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,1,10,4,1
c,1,2.1744,,,,,,,,0.6744,,,,,,,1.5,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,2,11,6,1
v,1,1.6886,,,,,,,,0.5886,,,,,,,1.1,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,3,12,5,1
v,1,1.7453,,,,,,,,0.4453,,,,,,,1.3,images/target_square.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,4,13,8,1
b,1,1.6911,,,,,,,,0.5911,,,,,,,1.1,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,5,14,7,1
c,1,1.5637,,,,,,,,0.4637,,,,,,,1.1,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,6,15,0,1
b,1,1.8566,,,,,,,,0.5566,,,,,,,1.3,images/target_plus.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,7,16,1,1
c,1,1.6948,,,,,,,,0.3948,,,,,,,1.3,images/target_cross.jpg,,001,2022-02-28_15h50.48.103,choiceRTT,2021.2.3,Win32,59.93048064,,,,,,,,1,8,17,3,1
