keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,correctMouseResp,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,1.986,,,,,,,,0.886,,,,,,,,1.1,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,5,5,5,1
v,1,2.224,,,,,,,,0.724,,,,,,,,1.5,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,6,6,2,1
b,1,3.317,,,,,,,,1.817,,,,,,,,1.5,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,7,7,4,1
v,1,2.219,,,,,,,,0.919,,,,,,,,1.3,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,0,8,8,8,1
c,1,1.827,,,,,,,,0.727,,,,,,,,1.1,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,0,9,0,1
b,1,2.021,,,,,,,,0.721,,,,,,,,1.3,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,1,10,1,1
b,1,2.419,,,,,,,,1.319,,,,,,,,1.1,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,2,11,7,1
c,1,3.201,,,,,,,,1.901,,,,,,,,1.3,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,3,12,3,1
v,1,1.97,,,,,,,,0.67,,,,,,,,1.3,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,4,13,8,1
v,1,2.105,,,,,,,,0.605,,,,,,,,1.5,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,5,14,2,1
c,1,2.487,,,,,,,,0.987,,,,,,,,1.5,images/target_cross.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,6,15,6,1
c,0,3.122,,,,,,,,1.622,,,,,,,,1.5,images/target_plus.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,7,16,4,1
v,1,2.051,,,,,,,,0.951,,,,,,,,1.1,images/target_square.jpg,000,001,2023-05-01_15h19.43,choiceRTT,2021.2.3,MacIntel,60.16847172,,,,,,,,,1,8,17,5,1
