keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,,,,,,,,,0.64,,,,,,,,1.5,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.14,,,,,,,0,4,4,6,1
b,0,,,,,,,,,0.569,,,,,,,,1.3,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,1.869,,,,,,,0,5,5,8,1
c,1,,,,,,,,,2.026,,,,,,,,1.1,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,3.126,,,,,,,0,6,6,0,1
b,1,,,,,,,,,1.384,,,,,,,,1.1,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.484,,,,,,,0,7,7,7,1
c,1,,,,,,,,,1.23,,,,,,,,1.3,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.53,,,,,,,0,8,8,3,1
c,1,,,,,,,,,0.949,,,,,,,,1.1,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.049,,,,,,,1,0,9,0,1
b,1,,,,,,,,,1.06,,,,,,,,1.5,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.56,,,,,,,1,1,10,4,1
b,1,,,,,,,,,0.785,,,,,,,,1.1,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,1.885,,,,,,,1,2,11,7,1
v,1,,,,,,,,,0.837,,,,,,,,1.1,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,1.937,,,,,,,1,3,12,5,1
b,1,,,,,,,,,1.089,,,,,,,,1.3,images/target_plus.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.389,,,,,,,1,4,13,1,1
c,1,,,,,,,,,1.279,,,,,,,,1.3,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.579,,,,,,,1,5,14,3,1
c,1,,,,,,,,,0.735,,,,,,,,1.5,images/target_cross.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.235,,,,,,,1,6,15,6,1
v,1,,,,,,,,,0.681,,,,,,,,1.3,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,1.981,,,,,,,1,7,16,8,1
v,1,,,,,,,,,0.714,,,,,,,,1.5,images/target_square.jpg,001,001,2022-11-25_11h36.39.836,choiceRTT,2021.2.3,MacIntel,40,2.214,,,,,,,1,8,17,2,1
