response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order,response.rt
,0,-0.031944444,0.029861111,1,0,0,targImage,,,,,,,2.5554,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,29,1,39,
,0,0.318055556,0.008333333,1,0,0,targImage,,,,,,,2.111,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,23,1,39,
,0,-0.286111111,0.033333333,1,0,0,targImage,,,,,,,2.111,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,20,1,39,
,0,0.116666667,0.018055556,1,0,0,targImage,,,,,,,2.5554,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,30,1,39,
,0,-0.304861111,0.033333333,1,0,0,targImage,,,,,,,1.2222,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,4,1,39,
,0,-0.163194444,0.029166667,1,0,0,targImage,,,,,,,2.111,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,21,1,39,
,0,-0.384027778,0.0375,1,0,0,targImage,,,,,,,1.8888,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,16,1,39,
,0,0.090972222,0.011111111,1,0,0,targImage,,,,,,,1,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,2,1,39,
,0,0.363194444,0.008333333,1,0,0,targImage,,,,,,,2.9998,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,39,1,39,
,0,-0.320833333,0.003472222,1,0,0,targImage,,,,,,,1,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,0,1,39,
,0,0.083333333,0.008333333,1,0,0,targImage,,,,,,,2.7776,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,34,1,39,
,0,0.283333333,0.027083333,1,0,0,targImage,,,,,,,2.3332,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,27,1,39,
,0,0.098611111,0.030555556,1,0,0,targImage,,,,,,,2.9998,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,38,1,39,
,0,-0.0875,0.04375,1,0,0,targImage,,,,,,,1.8888,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,17,1,39,
v,0,0.004166667,0.040972222,0,0,0,,,,,,,,2.9998,-0.375,c,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,36,1,39,0.478999853
,0,0.114583333,0.032638889,1,0,0,targImage,,,,,,,2.111,0.125,b,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,22,1,39,
,0,-0.186805556,0.038194444,1,0,0,targImage,,,,,,,1,-0.125,v,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,1,1,39,
,0,0.297916667,0.011111111,1,0,0,targImage,,,,,,,2.7776,0.375,n,,001,2020-04-22_15h12.28.024,choiceRTT,3.1.3,60,1,0,40,35,1,39,
