keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,,,,,,,,,0.7204,,,,,,,1.5,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.2204,,,,,,,0,1,1,6,1
b,1,,,,,,,,,0.7874,,,,,,,1.3,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.0874,,,,,,,0,2,2,1,1
c,1,,,,,,,,,0.6866,,,,,,,1.3,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.9866,,,,,,,0,3,3,3,1
b,1,,,,,,,,,0.688,,,,,,,1.1,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.788,,,,,,,0,4,4,7,1
v,1,,,,,,,,,0.6535,,,,,,,1.5,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.1535,,,,,,,0,5,5,2,1
v,1,,,,,,,,,0.4394,,,,,,,1.1,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.5394,,,,,,,0,6,6,5,1
c,1,,,,,,,,,0.705,,,,,,,1.1,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.805,,,,,,,0,7,7,0,1
v,1,,,,,,,,,0.7127,,,,,,,1.3,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.0127,,,,,,,0,8,8,8,1
c,1,,,,,,,,,0.7908,,,,,,,1.1,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.8908,,,,,,,1,0,9,0,1
v,1,,,,,,,,,0.6869,,,,,,,1.1,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.7869,,,,,,,1,1,10,5,1
b,0,,,,,,,,,0.6445,,,,,,,1.5,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.1445,,,,,,,1,2,11,6,1
v,1,,,,,,,,,0.7896,,,,,,,1.3,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.0896,,,,,,,1,3,12,8,1
c,1,,,,,,,,,0.3868,,,,,,,1.3,images/target_cross.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.6868,,,,,,,1,4,13,3,1
b,1,,,,,,,,,0.6464,,,,,,,1.1,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.7464,,,,,,,1,5,14,7,1
c,0,,,,,,,,,0.4727,,,,,,,1.3,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,1.7727,,,,,,,1,6,15,1,1
b,1,,,,,,,,,0.6412,,,,,,,1.5,images/target_plus.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.1412,,,,,,,1,7,16,4,1
v,1,,,,,,,,,0.507,,,,,,,1.5,images/target_square.jpg,1,001,2023-05-14_19h14.54.394,choiceRTT,2021.2.3,Win32,61.62188809,2.007,,,,,,,1,8,17,2,1
