participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,keyResp.rt,keyResp.duration,moveOnKeys.rt,moveOnKeys.duration,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,b,1,,,,,,,,,0.6256,,,,,,,1.1,images/target_plus.jpg,1.7256,,,,,,,,,,0,1,1,7,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,c,1,,,,,,,,,0.6744,,,,,,,1.1,images/target_cross.jpg,1.7744,,,,,,,,,,0,2,2,0,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,c,1,,,,,,,,,0.6073,,,,,,,1.5,images/target_cross.jpg,2.1073,,,,,,,,,,0,3,3,6,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,b,1,,,,,,,,,0.7328,,,,,,,1.5,images/target_plus.jpg,2.2328,,,,,,,,,,0,4,4,4,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,b,1,,,,,,,,,0.5644,,,,,,,1.3,images/target_plus.jpg,1.8644,,,,,,,,,,0,5,5,1,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,0.7301,,,,,,,1.1,images/target_square.jpg,1.8301,,,,,,,,,,0,6,6,5,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,c,1,,,,,,,,,0.6132,,,,,,,1.3,images/target_cross.jpg,1.9132,,,,,,,,,,0,7,7,3,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,0.6624,,,,,,,1.5,images/target_square.jpg,2.1624,,,,,,,,,,0,8,8,2,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,b,1,,,,,,,,,0.8234,,,,,,,1.1,images/target_plus.jpg,1.9234,,,,,,,,,,1,0,9,7,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,b,1,,,,,,,,,0.5681,,,,,,,1.3,images/target_plus.jpg,1.8681,,,,,,,,,,1,1,10,1,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,0.6594,,,,,,,1.3,images/target_square.jpg,1.9594,,,,,,,,,,1,2,11,8,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,0.6618,,,,,,,1.5,images/target_square.jpg,2.1618,,,,,,,,,,1,3,12,2,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,v,1,,,,,,,,,0.6716,,,,,,,1.1,images/target_square.jpg,1.7716,,,,,,,,,,1,4,13,5,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,b,1,,,,,,,,,0.6231,,,,,,,1.5,images/target_plus.jpg,2.1231,,,,,,,,,,1,5,14,4,1
,001,2023-10-26_19h21.09.724,choiceRTT,2023.1.3,Win32,145.2432825,c,1,,,,,,,,,0.6516,,,,,,,1.3,images/target_cross.jpg,1.9516,,,,,,,,,,1,6,15,3,1
