keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,moveOnKeys.rt,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,-0.071296296,-0.280555556,1,0,0,2.6115,square_button,0,1.1115,,,,,,,1.5,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,1,1,4,1
,0,-0.201851852,-0.247222222,1,0,0,2.032,cross_button,0,0.932,,,,,,,1.1,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,2,2,7,1
,0,0.318518519,-0.27037037,1,0,0,2.9467,plus_button,0,1.4467,,,,,,,1.5,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,3,3,6,1
,0,0.051851852,-0.312962963,1,0,0,2.3474,square_button,1,1.0474,,,,,,,1.3,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,4,4,8,1
,0,-0.052777778,-0.250925926,1,0,0,1.7774,square_button,1,0.6774,,,,,,,1.1,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,5,5,5,1
,0,0.205555556,-0.226851852,1,0,0,2.2651,plus_button,0,0.9651,,,,,,,1.3,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,6,6,3,1
,0,-0.284259259,-0.262037037,1,0,0,1.8313,cross_button,1,0.7313,,,,,,,1.1,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,7,7,0,1
,0,-0.043518519,-0.239814815,1,0,0,2.2045,square_button,1,0.7045,,,,,,,1.5,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,0,8,8,2,1
,0,0.251851852,-0.251851852,1,0,0,2.3759,plus_button,0,0.8759,,,,,,,1.5,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,0,9,6,1
,0,-0.213888889,-0.262962963,1,0,0,2.1812,cross_button,0,0.8812,,,,,,,1.3,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,1,10,1,1
,0,0.001851852,-0.25462963,1,0,0,1.7821,square_button,1,0.6821,,,,,,,1.1,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,2,11,5,1
,0,0.421296296,-0.223148148,1,0,0,1.9985,plus_button,0,0.8985,,,,,,,1.1,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,3,12,0,1
,0,0.021296296,-0.258333333,1,0,0,2.3319,square_button,0,1.2319,,,,,,,1.1,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,4,13,7,1
,0,0.019444444,-0.259259259,1,0,0,2.1655,square_button,1,0.8655,,,,,,,1.3,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,5,14,8,1
,0,0.235185185,-0.25,1,0,0,2.4309,plus_button,0,1.1309,,,,,,,1.3,images/target_cross.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,6,15,3,1
,0,-0.018518519,-0.241666667,1,0,0,2.3996,square_button,1,0.8996,,,,,,,1.5,images/target_square.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,7,16,2,1
,0,0.230555556,-0.216666667,1,0,0,2.2815,plus_button,1,0.7815,,,,,,,1.5,images/target_plus.jpg,1,001,2023-04-11_20h18.25.588,choiceRTT,2021.2.3,Win32,59.43183169,,,,,,,,,1,8,17,4,1
