keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,correctMouseResp,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,1,2.43,,,,,,,,1.13,,,,,,,,1.3,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,7,7,3,1
v,1,2.479,,,,,,,,1.179,,,,,,,,1.3,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,0,8,8,8,1
v,1,2.505,,,,,,,,1.005,,,,,,,,1.5,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,0,9,2,1
v,1,1.934,,,,,,,,0.634,,,,,,,,1.3,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,1,10,8,1
b,1,2.48,,,,,,,,1.18,,,,,,,,1.3,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,2,11,1,1
c,1,2.082,,,,,,,,0.782,,,,,,,,1.3,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,3,12,3,1
b,1,2.452,,,,,,,,0.952,,,,,,,,1.5,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,4,13,4,1
b,1,2.146,,,,,,,,1.046,,,,,,,,1.1,images/target_plus.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,5,14,7,1
c,1,2.041,,,,,,,,0.941,,,,,,,,1.1,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,6,15,0,1
c,1,2.679,,,,,,,,1.179,,,,,,,,1.5,images/target_cross.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,7,16,6,1
b,0,1.878,,,,,,,,0.778,,,,,,,,1.1,images/target_square.jpg,Sami,001,2023-06-15_14h21.47.865,choiceRTT,2021.2.3,MacIntel,50,,,,,,,,1,8,17,5,1
