response.keys,response.corr,response.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mouseResp.clicked_name,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,,-0.420658482,0.035584077,1,0,0,,,,,,,1.6666,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,12,1,39
,0,,-0.421156994,0.037793899,1,0,0,,,,,,,2.111,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,20,1,39
,0,,0.129348958,0.012883185,1,0,0,,,,,,,1.8888,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,18,1,39
,0,,-0.100543155,0.015825893,1,0,0,,,,,,,1.2222,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,5,1,39
,0,,0.154025298,0.014051339,1,0,0,,,,,,,1.6666,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,14,1,39
,0,,0.32062128,0.012362351,1,0,0,,,,,,,2.9998,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,39,1,39
,0,,-0.110762649,0.018764881,1,0,0,,,,,,,1,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,1,1,39
,0,,-0.365223214,0.026354167,1,0,0,,,,,,,2.5554,-0.375,c,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,28,1,39
,0,,-0.14078497,0.023928571,1,0,0,,,,,,,2.111,-0.125,v,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,21,1,39
,0,,0.205740327,0.026346726,1,0,0,,,,,,,1.4444,0.125,b,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,10,1,39
,0,,0.362269345,0.025840774,1,0,0,,,,,,,2.111,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,23,1,39
,0,,0.360535714,0.027559524,1,0,0,,,,,,,1.4444,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,11,1,39
,0,,0.326119792,0.022671131,1,0,0,,,,,,,1.8888,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,19,1,39
,0,,0.326116071,0.023162202,1,0,0,,,,,,,2.3332,0.375,n,e1,001,2021-05-11_15h16.06.248,choiceRTT,3.1.3,60,targImage,1,0,40,27,1,39
