response.keys, response.corr, response.rt, mouseResp.clicked_name, practiceTrials.thisRepN, practiceTrials.thisTrialN, practiceTrials.thisN, practiceTrials.thisIndex, practiceTrials.ran, practiceTrials.order, isi, xPos, corrAns, mainTrials.thisRepN, mainTrials.thisTrialN, mainTrials.thisN, mainTrials.thisIndex, mainTrials.ran, mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, 0.375, n, 1, 0, 40, 39, 1, 39, 2.9998, 0.375, n, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, -0.375, c, 1, 0, 40, 20, 1, 39, 2.111, -0.375, c, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, -0.125, v, 1, 0, 40, 1, 1, 39, 1, -0.125, v, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, 0.375, n, 1, 0, 40, 35, 1, 39, 2.7776, 0.375, n, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, 1, 0, 40, 2, 1, 39, 1, 0.125, b, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, 1, 0, 40, 3, 1, 39, 1, 0.375, n, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, 0.125, b, 1, 0, 40, 38, 1, 39, 2.9998, 0.125, b, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.7776, -0.375, c, 1, 0, 40, 32, 1, 39, 2.7776, -0.375, c, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.5554, 0.125, b, 1, 0, 40, 30, 1, 39, 2.5554, 0.125, b, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
, 0, , targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.111, -0.125, v, 1, 0, 40, 21, 1, 39, 2.111, -0.125, v, 1, 001, 2019-01-08_17h44.58.734, choiceRTT, 60
