participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,keyResp.rt,keyResp.duration,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,0,,,,,,,,,5.0004,,,,,,,1.3,images/target_plus.jpg,,,,,,,6.3004,,0,1,1,1,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,1,,,,,,,,,0.9091,,,,,,,1.5,images/target_square.jpg,,,,,,,2.4091,,0,2,2,2,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,b,0,,,,,,,,,2.9635,,,,,,,1.1,images/target_cross.jpg,,,,,,,4.0635,,0,3,3,0,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,b,1,,,,,,,,,0.6671,,,,,,,1.1,images/target_plus.jpg,,,,,,,1.7671,,0,4,4,7,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,1,,,,,,,,,0.8626,,,,,,,1.1,images/target_square.jpg,,,,,,,1.9626,,0,5,5,5,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,c,1,,,,,,,,,0.8733,,,,,,,1.3,images/target_cross.jpg,,,,,,,2.1733,,0,6,6,3,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,0,,,,,,,,,0.5618,,,,,,,1.5,images/target_plus.jpg,,,,,,,2.0618,,0,7,7,4,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,1,,,,,,,,,0.8083,,,,,,,1.3,images/target_square.jpg,,,,,,,2.1083,,0,8,8,8,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,c,1,,,,,,,,,0.7772,,,,,,,1.5,images/target_cross.jpg,,,,,,,2.2772,,1,0,9,6,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,c,1,,,,,,,,,0.6963,,,,,,,1.3,images/target_cross.jpg,,,,,,,1.9963,,1,1,10,3,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,b,1,,,,,,,,,0.8476,,,,,,,1.1,images/target_plus.jpg,,,,,,,1.9476,,1,2,11,7,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,b,1,,,,,,,,,0.8576,,,,,,,1.3,images/target_plus.jpg,,,,,,,2.1576,,1,3,12,1,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,b,1,,,,,,,,,0.7629,,,,,,,1.5,images/target_plus.jpg,,,,,,,2.2629,,1,4,13,4,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,1,,,,,,,,,0.9938,,,,,,,1.1,images/target_square.jpg,,,,,,,2.0938,,1,5,14,5,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,c,1,,,,,,,,,0.7643,,,,,,,1.1,images/target_cross.jpg,,,,,,,1.8643,,1,6,15,0,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,1,,,,,,,,,0.7787,,,,,,,1.3,images/target_square.jpg,,,,,,,2.0787,,1,7,16,8,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,v,1,,,,,,,,,0.6393,,,,,,,1.5,images/target_square.jpg,,,,,,,2.1393,,1,8,17,2,1
1,001,2023-11-02_11h01.01.594,choiceRTT,2023.1.3,Win32,63.500127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
