response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,response.rt,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
n,0,-0.158854167,-0.03125,0,0,0,,,,,,,,2.9998,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.207000017,1,0,40,36,1,39
b,0,-0.126302083,-0.03125,0,0,0,,,,,,,,2.111,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.14199996,1,0,40,20,1,39
b,0,-0.2578125,-0.033854167,0,0,0,,,,,,,,1.8888,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.279000044,1,0,40,16,1,39
v,0,-0.223958333,-0.020833333,0,0,0,,,,,,,,2.9998,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.144000053,1,0,40,39,1,39
b,0,-0.14453125,-0.010416667,0,0,0,,,,,,,,2.7776,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.253999949,1,0,40,33,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.111,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,3.1650002,1,0,40,21,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.5554,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,1.516000032,1,0,40,29,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.6666,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.015000105,1,0,40,12,1,39
b,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.2222,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.061000109,1,0,40,7,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.3332,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.062999964,1,0,40,25,1,39
b,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.5554,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.153000116,1,0,40,28,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.4444,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.171000004,1,0,40,9,1,39
v,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.6666,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.082999945,1,0,40,15,1,39
b,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.4444,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.657999992,1,0,40,11,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.3332,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.433000088,1,0,40,26,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.111,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.046999931,1,0,40,22,1,39
b,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.8888,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.10800004,1,0,40,17,1,39
b,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.045000076,1,0,40,0,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.6666,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.063000202,1,0,40,14,1,39
n,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,1,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.023000002,1,0,40,3,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.2222,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.062000036,1,0,40,4,1,39
v,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.9998,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.07400012,1,0,40,38,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.9998,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,1.768000126,1,0,40,37,1,39
v,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.6666,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.048000097,1,0,40,13,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.4444,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.095999956,1,0,40,8,1,39
v,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.2222,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.281000137,1,0,40,6,1,39
n,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.7776,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.014000177,1,0,40,35,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.7776,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,2.90199995,1,0,40,34,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.8888,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.263000011,1,0,40,18,1,39
v,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.2222,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.40899992,1,0,40,5,1,39
n,0,-0.149739583,-0.022135417,0,0,0,,,,,,,,1,-0.125,v,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.101000071,1,0,40,1,1,39
n,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,1.8888,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,1.789000034,1,0,40,19,1,39
n,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.111,0.375,n,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,0.855000019,1,0,40,23,1,39
c,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.3332,-0.375,c,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,1.819999933,1,0,40,24,1,39
b,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,1,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,1.399000168,1,0,40,2,1,39
b,1,-0.149739583,-0.022135417,0,0,0,,,,,,,,2.5554,0.125,b,A2ETSIXC7KR1UM,001,2020-07-13_14h35.03.859,choiceRTT,3.1.3,60,1.070000172,1,0,40,30,1,39
